ticker,date,close_px
SPY,2023-01-03,383.55
SPY,2023-01-04,382.12
SPY,2023-01-05,383.45
SPY,2023-01-06,385.67
SPY,2023-01-09,384.23
SPY,2023-01-10,383.89
SPY,2023-01-11,385.12
SPY,2023-01-12,386.45
SPY,2023-01-13,385.98
SPY,2023-01-17,386.23
SPY,2023-01-18,387.56
SPY,2023-01-19,388.12
SPY,2023-01-20,387.45
SPY,2023-01-23,388.23
SPY,2023-01-24,388.99
SPY,2023-01-25,389.78
SPY,2023-01-26,391.23
SPY,2023-01-27,392.45
SPY,2023-01-30,391.98
SPY,2023-01-31,392.78
SPY,2023-02-01,393.45
SPY,2023-02-02,394.12
SPY,2023-02-03,395.23
SPY,2023-02-06,394.98
SPY,2023-02-07,396.12
VIX,2023-01-03,19.45
VIX,2023-01-04,20.12
VIX,2023-01-05,19.78
VIX,2023-01-06,18.56
VIX,2023-01-09,19.23
VIX,2023-01-10,19.45
VIX,2023-01-11,18.67
VIX,2023-01-12,17.89
VIX,2023-01-13,18.34
VIX,2023-01-17,17.99
VIX,2023-01-18,17.45
VIX,2023-01-19,17.23
VIX,2023-01-20,17.67
VIX,2023-01-23,17.12
VIX,2023-01-24,16.89
VIX,2023-01-25,16.45
VIX,2023-01-26,15.99
VIX,2023-01-27,15.67
VIX,2023-01-30,16.12
VIX,2023-01-31,15.89
VIX,2023-02-01,15.45
VIX,2023-02-02,15.23
VIX,2023-02-03,14.99
VIX,2023-02-06,15.34
VIX,2023-02-07,15.67
